Date,Begin,End,Name
07/26/05,11:00:00,14:00:00,10
07/29/05,08:00:00,11:00:00,10
08/02/05,15:30:00,16:30:00,10
08/04/05,16:30:00,17:30:00,30
08/05/05,08:00:00,11:00:00,10
08/09/05,11:00:00,14:00:00,10
08/09/05,08:00:00,16:00:00,10
08/10/05,08:00:00,16:00:00,10
08/12/05,08:00:00,11:00:00,10
08/16/05,11:00:00,14:00:00,20
08/18/05,08:00:00,17:00:00,10
08/18/05,18:00:00,20:30:00,30
08/19/05,08:00:00,11:00:00,10
08/23/05,11:00:00,14:00:00,10
08/26/05,08:00:00,11:00:00,10
08/30/05,16:00:00,18:00:00,30
09/01/05,14:00:00,16:30:00,30
09/15/05,08:30:00,10:00:00,10
09/21/05,09:00:00,14:00:00,10
09/22/05,14:00:00,14:30:00,30
10/03/05,15:30:00,17:00:00,30
10/04/05,12:00:00,15:00:00,20
10/07/05,09:00:00,10:30:00,20
10/10/05,16:30:00,19:00:00,20
10/14/05,09:00:00,10:30:00,20
10/19/05,22:00:00,23:30:00,20
10/21/05,09:00:00,10:30:00,20
10/23/05,21:00:00,22:30:00,20
10/24/05,08:00:00,12:00:00,10
10/24/05,16:00:00,21:00:00,30